# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_a0_binary_s0.25m.stl aoa_deg=14.0 Re=2.20899988E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,0.445294,104.435417,629.833251,0.244047,1.471808
4000,0.086213,155.047317,906.192016,0.362318,2.117610
6000,0.044658,124.322235,958.706848,0.290519,2.240328
8000,-0.230338,89.054779,973.217407,0.208105,2.274236
10000,-0.338173,168.573120,924.031127,0.393925,2.159297
12000,-0.117395,181.633651,975.020263,0.424446,2.278449
14000,-0.031222,98.035697,840.043579,0.229092,1.963033
16000,0.004372,235.595825,926.250183,0.550546,2.164482
18000,0.091175,132.867767,927.757263,0.310488,2.168004
20000,-0.086736,106.385131,874.839843,0.248603,2.044345
22000,-0.257015,189.801391,899.133850,0.443532,2.101116
