# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h12mm_s0.25m.stl aoa_deg=14.0 Re=2.20899988E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,0.140053,118.496917,630.802551,0.276906,1.474074
4000,-0.228273,137.012557,881.423034,0.320174,2.059729
6000,0.230136,144.823135,946.813537,0.338426,2.212535
8000,0.112697,137.500488,933.042297,0.321314,2.180354
10000,0.130087,134.715423,906.464416,0.314806,2.118246
12000,-0.079594,141.732559,920.600036,0.331204,2.151279
14000,-0.053315,149.025238,933.924194,0.348246,2.182415
16000,0.031080,154.667846,943.862976,0.361431,2.205640
18000,0.215442,159.351959,941.664733,0.372377,2.200503
20000,-0.102661,158.893783,919.658447,0.371307,2.149079
22000,0.046039,173.411697,935.388122,0.405232,2.185836
24000,-0.120923,161.866531,869.730102,0.378253,2.032405
26000,-0.307962,182.742691,900.744751,0.427037,2.104881
28000,-0.250115,194.743743,897.162231,0.455082,2.096509
30000,-0.024787,207.497207,874.924743,0.484884,2.044544
32000,-0.029551,208.616302,826.354370,0.487499,1.931043
34000,-0.153013,204.957717,742.744140,0.478950,1.735661
36000,0.012259,204.461669,701.867492,0.477791,1.640140
38000,-0.246137,192.307662,594.537536,0.449389,1.389329
40000,-0.121208,177.305053,554.364257,0.414330,1.295451
42000,-0.116818,180.866683,634.828186,0.422653,1.483481
44000,0.068064,152.171310,570.242492,0.355597,1.332555
46000,-0.250351,145.444976,585.837280,0.339879,1.368998
48000,-0.122544,147.134078,674.394958,0.343826,1.575941
50000,-0.157549,161.662399,725.347473,0.377776,1.695008
52000,-0.247138,155.862106,728.449646,0.364222,1.702258
54000,-0.187159,144.792114,696.697753,0.338353,1.628059
56000,-0.214799,173.482177,776.363952,0.405397,1.814225
58000,-0.041532,178.972290,762.677124,0.418226,1.782241
60000,-0.164710,197.070510,787.851745,0.460519,1.841070
62000,-0.031892,175.642700,711.704589,0.410446,1.663127
64000,-0.169917,201.633728,756.985900,0.471182,1.768942
66000,-0.116130,206.898757,739.330200,0.483486,1.727683
68000,-0.067514,173.815200,621.213684,0.406175,1.451666
70000,-0.225458,172.702713,625.104553,0.403576,1.460758
72000,0.038582,186.043426,674.521057,0.434750,1.576236
74000,-0.152485,168.342315,633.136901,0.393386,1.479529
76000,-0.100296,162.086441,624.637146,0.378767,1.459666
78000,-0.040252,181.328521,670.568847,0.423733,1.567000
80000,-0.080904,190.862930,682.816162,0.446013,1.595620
82000,-0.052570,180.692749,636.687377,0.422247,1.487825
84000,-0.010659,159.994110,568.021240,0.373878,1.327365
86000,-0.207224,176.962112,636.353332,0.413529,1.487045
88000,-0.177665,171.760711,618.042602,0.401374,1.444256
90000,-0.131430,162.914886,600.841918,0.380703,1.404061
92000,-0.309407,145.340774,569.215454,0.339636,1.330155
94000,-0.134470,180.059478,662.033447,0.420767,1.547055
96000,-0.104838,185.190719,648.645385,0.432758,1.515769
