# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_vg_h16mm_p90mm_s0.25m.stl aoa_deg=20.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.027544,131.010604,460.475646,0.544264,1.912977
4000,0.036342,171.584259,715.803772,0.712821,2.973700
6000,-0.227049,174.639373,756.806823,0.725513,3.144041
8000,-0.504193,201.848083,819.754028,0.838548,3.405546
10000,-0.029209,207.479171,827.252746,0.861941,3.436698
12000,0.037749,216.326065,828.929260,0.898694,3.443663
14000,0.101415,240.064987,862.569519,0.997314,3.583417
16000,0.052188,273.961334,912.481567,1.138132,3.790769
18000,0.038921,303.297790,949.723266,1.260005,3.945484
20000,-0.072275,339.452117,990.091125,1.410203,4.113186
22000,-0.043743,383.292846,1028.555419,1.592333,4.272980
24000,-0.055773,396.180786,995.141113,1.645874,4.134166
26000,-0.043813,334.761352,802.291992,1.390716,3.333003
28000,-0.137272,258.083587,499.394592,1.072170,2.074661
30000,0.087671,225.062805,391.750213,0.934990,1.627468
32000,0.068675,178.069915,361.328979,0.739765,1.501087
34000,-0.241990,168.229751,457.642364,0.698885,1.901207
36000,-0.317457,210.669342,634.494445,0.875194,2.635913
38000,-0.173681,222.473785,702.049133,0.924234,2.916559
40000,0.028670,229.447525,732.442260,0.953206,3.042822
42000,-0.034749,238.306610,754.450744,0.990009,3.134253
44000,-0.191173,271.218383,803.562744,1.126736,3.338282
46000,-0.039418,295.257690,829.206542,1.226604,3.444815
48000,-0.216935,323.926513,851.544677,1.345704,3.537616
50000,-0.099362,306.089050,760.703674,1.271601,3.160230
52000,0.083266,244.625381,589.858886,1.016260,2.450481
54000,-0.049627,192.751739,365.340789,0.800758,1.517754
56000,-0.176610,172.426391,317.150451,0.716320,1.317554
58000,-0.047262,154.773513,356.681365,0.642984,1.481780
60000,-0.166201,166.205947,465.709594,0.690478,1.934721
62000,0.041612,186.034805,566.195251,0.772854,2.352174
64000,0.285549,211.333816,650.649963,0.877955,2.703028
66000,0.155032,227.414962,694.409790,0.944762,2.884822
68000,0.206548,253.092941,719.476257,1.051437,2.988957
70000,0.150588,294.269653,775.428405,1.222499,3.221402
72000,0.067368,319.111022,790.801391,1.325699,3.285267
74000,0.231049,305.283752,729.804321,1.268256,3.031863
76000,0.146401,223.471588,482.947204,0.928379,2.006332
78000,-0.045291,218.205032,386.008117,0.906500,1.603613
80000,0.072459,187.318298,355.216491,0.778186,1.475694
82000,-0.302727,166.858688,420.862274,0.693190,1.748410
84000,-0.023222,211.840469,623.648437,0.880060,2.590855
86000,-0.082625,207.989425,662.106628,0.864061,2.750623
88000,-0.011106,221.369537,704.473999,0.919647,2.926632
90000,0.005688,229.969726,753.039611,0.955375,3.128391
92000,0.071812,249.705780,778.321838,1.037365,3.233422
94000,0.133876,286.097290,839.700988,1.188549,3.488413
96000,-0.116839,328.235260,900.894836,1.363605,3.742633
98000,-0.021043,345.075653,879.205261,1.433565,3.652527
100000,0.081089,335.597320,806.566223,1.394189,3.350759
102000,0.048023,238.399627,513.605896,0.990396,2.133699
104000,-0.231715,216.770156,369.161010,0.900539,1.533624
106000,0.006879,183.779663,331.562622,0.763485,1.377428
108000,0.021505,172.615722,420.352661,0.717106,1.746292
110000,-0.175402,195.063446,574.086059,0.810362,2.384955
112000,0.092808,209.941864,665.510498,0.872172,2.764764
114000,0.189504,211.166427,676.495361,0.877260,2.810399
116000,-0.163392,227.755630,754.677917,0.946177,3.135197
118000,0.200381,250.702346,787.838195,1.041506,3.272956
120000,0.037937,288.274627,854.737304,1.197594,3.550879
122000,-0.156818,325.544342,921.111083,1.352425,3.826619
124000,0.089974,341.632812,917.960815,1.419263,3.813531
126000,0.035962,337.106506,852.739318,1.400459,3.542578
128000,-0.109987,263.664184,605.338378,1.095354,2.514788
130000,0.081265,259.575286,467.282592,1.078367,1.941256
132000,0.026337,220.433883,392.502990,0.915760,1.630595
134000,-0.101347,179.477325,416.466156,0.745612,1.730147
136000,-0.311870,185.306869,544.674011,0.769830,2.262767
138000,0.130897,228.180175,703.891845,0.947941,2.924214
140000,0.181502,218.525238,698.894653,0.907831,2.903454
142000,0.210224,240.206298,769.142578,0.997901,3.195288
144000,-0.128762,259.545532,791.243957,1.078243,3.287105
146000,-0.195317,291.315887,839.025268,1.210228,3.485605
148000,-0.199685,325.178680,886.232910,1.350906,3.681723
