# Glasair VG tunnel force log | mode=slice stl=L:/Dev/glasair_vg_sim/gpu/fluidx3d/assets/wing_speck_s0.25m.stl aoa_deg=20.0 Re=2.21000004E6 mm_per_cell=1.623
# t,Fx,Fy,Fz,Cd,Cl
2000,-0.012098,124.149230,452.351318,0.515759,1.879226
4000,-0.061679,168.471832,717.533264,0.699891,2.980885
6000,0.080928,175.838455,762.056518,0.730495,3.165850
8000,-0.011471,206.717468,827.160400,0.858777,3.436315
10000,-0.212318,218.844406,848.327697,0.909157,3.524251
12000,-0.101815,221.221237,837.539978,0.919031,3.479435
14000,-0.066527,253.448242,892.817321,1.052913,3.709077
16000,-0.016841,272.792236,919.426025,1.133275,3.819618
18000,0.148548,306.910461,955.171691,1.275014,3.968118
20000,-0.027831,356.011779,1015.027587,1.478998,4.216781
22000,-0.006974,389.192138,1040.869628,1.616841,4.324138
24000,-0.084484,374.342102,966.060546,1.555148,4.013355
26000,0.020895,281.184906,677.306518,1.168141,2.813769
28000,0.032377,303.606414,568.392700,1.261288,2.361303
30000,-0.018116,251.893951,462.410461,1.046456,1.921015
32000,0.287719,182.009719,422.429138,0.756132,1.754919
34000,0.337269,184.955688,528.956420,0.768371,2.197471
36000,0.067744,200.506378,630.877624,0.832974,2.620887
38000,-0.001127,202.672073,646.854187,0.841971,2.687259
40000,-0.051773,221.672851,710.584838,0.920907,2.952019
42000,-0.087699,241.069793,743.130249,1.001489,3.087224
44000,0.058829,269.606079,793.899841,1.120038,3.298139
46000,0.018675,299.078308,838.379638,1.242476,3.482923
48000,0.042388,316.016693,834.258728,1.312844,3.465804
50000,-0.093501,310.348022,754.676513,1.289295,3.135191
52000,-0.203908,235.522445,497.536438,0.978443,2.066941
54000,-0.152338,222.239028,391.168426,0.923259,1.625051
56000,-0.054820,169.940536,326.677764,0.705993,1.357134
58000,-0.036728,169.780181,421.339630,0.705327,1.750393
60000,-0.081186,184.590286,544.898254,0.766853,2.263699
62000,-0.065969,207.494766,657.414794,0.862006,2.731132
64000,-0.019082,220.939651,707.370605,0.917861,2.938666
66000,-0.154784,233.748580,737.470947,0.971074,3.063713
68000,-0.275905,269.680023,786.397766,1.120345,3.266972
70000,-0.068524,297.958038,819.411132,1.237822,3.404122
72000,-0.087584,320.052368,832.824829,1.329610,3.459847
74000,-0.055268,318.006561,786.191955,1.321111,3.266117
76000,0.058340,241.789413,562.432739,1.004478,2.336543
78000,0.035647,198.183990,351.487060,0.823326,1.460201
80000,0.104413,175.481536,294.431091,0.729012,1.223170
82000,0.159499,160.794448,353.715820,0.667997,1.469460
84000,-0.208701,163.766204,451.827362,0.680342,1.877049
86000,-0.027883,188.401245,587.672363,0.782685,2.441397
88000,-0.028451,199.950637,652.686157,0.830665,2.711488
90000,0.063459,214.172683,711.435058,0.889749,2.955551
92000,-0.158427,233.098022,736.134582,0.968371,3.058161
94000,-0.073878,277.608673,815.691162,1.153284,3.388667
96000,0.015580,320.575683,882.429077,1.331784,3.665920
98000,-0.130523,346.069946,899.455261,1.437696,3.736653
100000,-0.030570,351.284698,858.353637,1.459360,3.565902
102000,-0.079623,276.358001,642.755554,1.148088,2.670232
104000,-0.019572,231.563735,421.209625,0.961997,1.749853
106000,-0.023245,213.816757,376.021118,0.888270,1.562124
108000,0.191223,186.930069,422.809692,0.776573,1.756500
110000,-0.028856,193.188583,552.796508,0.802573,2.296511
112000,-0.147194,212.557296,664.432434,0.883038,2.760286
114000,0.024370,192.359436,657.689575,0.799129,2.732273
116000,0.069063,199.963821,682.581665,0.830720,2.835684
118000,-0.253249,228.887069,730.910888,0.950877,3.036460
120000,0.079254,264.437866,804.050781,1.098568,3.340309
122000,0.003120,303.721649,873.354919,1.261766,3.628223
124000,0.037695,346.922576,938.228271,1.441238,3.897730
126000,0.017136,358.925262,911.810974,1.491101,3.787983
128000,0.112385,335.154571,797.564392,1.392350,3.313363
130000,0.057339,252.018188,497.256561,1.046972,2.065778
132000,0.004494,222.160369,385.317901,0.922932,1.600746
134000,0.098523,177.537628,339.029876,0.737554,1.408449
136000,-0.081402,141.524673,365.733886,0.587943,1.519387
138000,-0.023215,206.068115,600.188476,0.856079,2.493394
140000,-0.010309,209.673110,658.874450,0.871056,2.737196
142000,-0.100151,225.023818,716.829406,0.934828,2.977961
144000,-0.248751,231.656784,741.360656,0.962384,3.079872
146000,0.128525,263.925354,780.214843,1.096439,3.241286
148000,-0.032907,297.372894,822.680114,1.235391,3.417702
